_RAJ2000,_DEJ2000,[IHA2008],RAJ2000,DEJ2000,Vmag,Icmag,Per,Iamp,Mass,Rad,TIC,GaiaDR2,SimbadName
122.95279,-49.32519,N2547-2-1-2408,08 11 48.67,-49 19 30.7,16.9,14.82,2.333,0.015,0.62,0.7,238724617,5514352908421767168,[IHA2008] N2547-2-1-2408
122.9865,-49.31253,N2547-2-1-2761,08 11 56.76,-49 18 45.1,18.01,15.54,0.238,0.006,0.44,0.56,238724655,5514352839702295424,[IHA2008] N2547-2-1-2761
122.87946,-49.23625,N2547-2-1-4983,08 11 31.07,-49 14 10.5,19.72,17.01,1.038,0.053,0.19,0.35,238668031,5514357096009083648,[IHA2008] N2547-2-1-4983
122.89838,-49.206,N2547-2-1-5935,08 11 35.61,-49 12 21.6,18.84,16.13,4.301,0.011,0.31,0.46,238724915,5514357443907063040,[IHA2008] N2547-2-1-5935
123.016,-49.20125,N2547-2-1-6067,08 12 03.84,-49 12 04.5,18.94,16.24,0.402,0.026,0.29,0.44,238724935,5515855528500099456,[IHA2008] N2547-2-1-6067
122.70892,-49.37992,N2547-2-2-833,08 10 50.14,-49 22 47.7,18.86,16.21,1.624,0.045,0.3,0.45,238668415,5514354317171091328,[IHA2008] N2547-2-2-833
122.78167,-49.36175,N2547-2-2-1421,08 11 07.60,-49 21 42.3,17.22,14.89,2.289,0.026,0.6,0.68,238668370,5514351843269849216,[IHA2008] N2547-2-2-1421
122.69537,-49.35944,N2547-2-2-1485,08 10 46.89,-49 21 34.0,20.44,17.23,0.188,0.011,0.17,0.33,238644305,5514354587747828864,[IHA2008] N2547-2-2-1485
122.63275,-49.35828,N2547-2-2-1563,08 10 31.86,-49 21 29.8,15.12,13.67,0.24,0.013,0.8,0.87,238644309,5514349506807731200,[IHA2008] N2547-2-2-1563
122.61417,-49.33881,N2547-2-2-2133,08 10 27.40,-49 20 19.7,18.42,15.93,2.071,0.033,0.35,0.5,238644360,5514349777384533376,[IHA2008] N2547-2-2-2133
122.73375,-49.31108,N2547-2-2-2994,08 10 56.10,-49 18 39.9,17.53,15.13,0.294,0.047,0.54,0.64,238668225,5514355176164451712,[IHA2008] N2547-2-2-2994
122.69971,-49.28553,N2547-2-2-3799,08 10 47.93,-49 17 07.9,16.9,14.86,4.493,0.027,0.61,0.69,238644506,5514356206956587904,[IHA2008] N2547-2-2-3799
122.722,-49.28011,N2547-2-2-3940,08 10 53.28,-49 16 48.4,21.35,18.1,0.586,0.014,0.1,0.25,238668154,5514356030857885696,[IHA2008] N2547-2-2-3940
122.70021,-49.27483,N2547-2-2-4102,08 10 48.05,-49 16 29.4,19.18,16.48,0.55,0.011,0.26,0.41,238668142,5514356206956584832,[IHA2008] N2547-2-2-4102
122.77429,-49.27364,N2547-2-2-4133,08 11 05.83,-49 16 25.1,20.5,17.46,0.853,0.02,0.15,0.31,238668139,5514355343662349056,[IHA2008] N2547-2-2-4133
122.7015,-49.25692,N2547-2-2-4711,08 10 48.36,-49 15 24.9,18.21,15.75,1.424,0.01,0.39,0.53,238668090,5514356310035796992,[IHA2008] N2547-2-2-4711
122.69558,-49.25592,N2547-2-2-4736,08 10 46.94,-49 15 21.3,19.77,16.99,1.038,0.019,0.19,0.35,238644586,5514356271375328000,[IHA2008] N2547-2-2-4736
122.77908,-49.20656,N2547-2-2-6291,08 11 06.98,-49 12 23.6,20.12,17.24,0.518,0.013,0.17,0.33,238667940,5514357955003554560,[IHA2008] N2547-2-2-6291
122.67179,-49.20608,N2547-2-2-6311,08 10 41.23,-49 12 21.9,21.1,17.89,0.456,0.015,0.12,0.27,238644706,5514368400364017408,[IHA2008] N2547-2-2-6311
122.78883,-49.19819,N2547-2-2-6531,08 11 09.32,-49 11 53.5,19.05,16.29,1.074,0.018,0.28,0.44,238667921,5514358058081825920,[IHA2008] N2547-2-2-6531
122.72308,-49.19528,N2547-2-2-6621,08 10 53.54,-49 11 43.0,19.49,16.8,0.882,0.009,0.21,0.37,238667914,5514368267224743296,[IHA2008] N2547-2-2-6621
122.76108,-49.18569,N2547-2-2-6915,08 11 02.66,-49 11 08.5,19.55,16.73,0.686,0.007,0.22,0.38,238667880,5514369706033149696,[IHA2008] N2547-2-2-6915
122.62867,-49.179,N2547-2-2-7133,08 10 30.88,-49 10 44.4,17.34,15.12,0.513,0.01,0.55,0.64,238644791,5514369401096082688,[IHA2008] N2547-2-2-7133
122.57371,-49.39158,N2547-2-3-468,08 10 17.69,-49 23 29.7,19.89,17.15,1.989,0.027,0.17,0.34,238644213,5514349403724200192,[IHA2008] N2547-2-3-468
122.48517,-49.36975,N2547-2-3-1137,08 09 56.44,-49 22 11.1,15.9,14.25,5.087,0.025,0.72,0.79,238616767,5514361189118830080,[IHA2008] N2547-2-3-1137
122.42804,-49.35472,N2547-2-3-1609,08 09 42.73,-49 21 17.0,18.78,16.21,1.25,0.01,0.3,0.45,238616726,5514360570643555072,[IHA2008] N2547-2-3-1609
122.43442,-49.31214,N2547-2-3-2860,08 09 44.26,-49 18 43.7,20.34,17.4,0.383,0.01,0.15,0.31,238616619,,[IHA2008] N2547-2-3-2860
122.43708,-49.3095,N2547-2-3-3018,08 09 44.90,-49 18 34.2,18.38,15.67,2.405,0.012,0.41,0.54,238616614,5514362353048890240,[IHA2008] N2547-2-3-3018
122.43983,-49.29347,N2547-2-3-3544,08 09 45.56,-49 17 36.5,16.26,14.39,0.272,0.023,0.7,0.77,238616573,5514362357349925248,[IHA2008] N2547-2-3-3544
122.55729,-49.28644,N2547-2-3-3708,08 10 13.75,-49 17 11.2,17.74,15.41,1.699,0.012,0.48,0.59,238644503,5514361910673123840,[IHA2008] N2547-2-3-3708
122.51717,-49.26603,N2547-2-3-4251,08 10 04.12,-49 15 57.7,18.48,15.96,1.619,0.013,0.35,0.5,238616483,5514362838386042368,[IHA2008] N2547-2-3-4251
122.5075,-49.26261,N2547-2-3-4413,08 10 01.80,-49 15 45.4,17.51,15.23,6.469,0.015,0.52,0.62,238616476,5514362838386039936,[IHA2008] N2547-2-3-4413
122.53725,-49.26147,N2547-2-3-4458,08 10 08.94,-49 15 41.3,15.61,14.07,4.41,0.016,0.75,0.81,238644572,5514362735306830848,[IHA2008] N2547-2-3-4458
122.41217,-49.25142,N2547-2-3-4818,08 09 38.92,-49 15 05.1,17.48,15.05,2.217,0.023,0.56,0.65,238616447,5514365655884555392,[IHA2008] N2547-2-3-4818
122.40354,-49.23928,N2547-2-3-5152,08 09 36.85,-49 14 21.4,15.92,13.89,6.798,0.021,0.77,0.84,238616416,5514366411798794752,[IHA2008] N2547-2-3-5152
122.50771,-49.21628,N2547-2-3-5823,08 10 01.85,-49 12 58.6,21.58,18.25,0.551,0.025,0.1,0.25,238616344,5514366029542062336,[IHA2008] N2547-2-3-5823
122.44571,-49.21739,N2547-2-3-5847,08 09 46.97,-49 13 02.6,15.57,13.96,0.981,0.051,0.77,0.83,238616349,5514366171280633856,[IHA2008] N2547-2-3-5847
122.5295,-49.21658,N2547-2-3-5979,08 10 07.08,-49 12 59.7,18.68,16.04,1.555,0.027,0.33,0.48,238644685,5514365999481965568,[IHA2008] N2547-2-3-5979
122.51917,-49.19414,N2547-2-3-6494,08 10 04.60,-49 11 38.9,20.12,17.17,0.624,0.01,0.17,0.34,238616282,5514366063900874752,[IHA2008] N2547-2-3-6494
122.48354,-49.18783,N2547-2-3-6728,08 09 56.05,-49 11 16.2,20.11,17.26,0.609,0.01,0.16,0.33,238616263,5514366308719592704,[IHA2008] N2547-2-3-6728
122.53117,-49.17908,N2547-2-3-7046,08 10 07.48,-49 10 44.7,16.29,14.43,1.457,0.049,0.69,0.76,238644789,5514372149875126144,[IHA2008] N2547-2-3-7046
122.21788,-49.38606,N2547-2-4-646,08 08 52.29,-49 23 09.8,21.27,17.92,0.712,0.014,0.12,0.27,238596283,,[IHA2008] N2547-2-4-646
122.28792,-49.37797,N2547-2-4-926,08 09 09.10,-49 22 40.7,18.05,15.38,1.34,0.013,0.48,0.6,238596317,5514363177682377344,[IHA2008] N2547-2-4-926
122.18275,-49.36933,N2547-2-4-1153,08 08 43.86,-49 22 09.6,19.5,16.35,0.283,0.021,0.28,0.43,238596341,5514340637694042368,[IHA2008] N2547-2-4-1153
122.28358,-49.36653,N2547-2-4-1224,08 09 08.06,-49 21 59.5,21.54,18.2,0.499,0.034,0.1,0.25,238596348,5514363383842195328,[IHA2008] N2547-2-4-1224
122.28842,-49.34514,N2547-2-4-1819,08 09 09.22,-49 20 42.5,19.82,16.99,0.846,0.011,0.19,0.35,238596417,5514363486921410560,[IHA2008] N2547-2-4-1819
122.25092,-49.34258,N2547-2-4-1915,08 09 00.22,-49 20 33.3,14.56,13.39,5.578,0.021,0.83,0.91,238596423,5514364212775723136,[IHA2008] N2547-2-4-1915
122.28,-49.32069,N2547-2-4-2490,08 09 07.20,-49 19 14.5,14.82,13.24,5.264,0.017,0.85,0.93,238596475,5514364315854935552,[IHA2008] N2547-2-4-2490
122.30483,-49.29403,N2547-2-4-3215,08 09 13.16,-49 17 38.5,19.99,17.07,0.604,0.009,0.18,0.34,238596549,5514364723870890112,[IHA2008] N2547-2-4-3215
122.34796,-49.27422,N2547-2-4-3744,08 09 23.51,-49 16 27.2,20.33,17.34,0.943,0.017,0.16,0.32,238616506,5514364861310955008,[IHA2008] N2547-2-4-3744
122.19237,-49.27331,N2547-2-4-3786,08 08 46.17,-49 16 23.9,17.61,15.15,7.592,0.006,0.54,0.64,238596604,5514552465479898240,[IHA2008] N2547-2-4-3786
122.35954,-49.22378,N2547-2-4-5219,08 09 26.29,-49 13 25.6,20.38,17.46,1.101,0.02,0.15,0.31,238616365,5514366648016391296,[IHA2008] N2547-2-4-5219
122.22262,-49.22406,N2547-2-4-5239,08 08 53.43,-49 13 26.6,18.71,16.08,0.921,0.021,0.32,0.47,238596721,5514552710300185088,[IHA2008] N2547-2-4-5239
122.30796,-49.22186,N2547-2-4-5376,08 09 13.91,-49 13 18.7,18.17,15.71,1.101,0.021,0.4,0.53,238596729,5514552882098853632,[IHA2008] N2547-2-4-5376
122.23992,-49.19061,N2547-2-4-6242,08 08 57.58,-49 11 26.2,18.29,15.82,11.564,0.017,0.38,0.52,238596819,5514553878531244160,[IHA2008] N2547-2-4-6242
122.17596,-49.19033,N2547-2-4-6292,08 08 42.23,-49 11 25.2,14.43,12.88,2.628,0.039,0.89,0.98,238596821,5514553775452076672,[IHA2008] N2547-2-4-6292
122.30029,-49.17094,N2547-2-4-6806,08 09 12.07,-49 10 15.4,19.36,16.68,1.374,0.01,0.23,0.39,238596865,5514553255754054656,[IHA2008] N2547-2-4-6806
122.23037,-49.65811,N2547-2-5-616,08 08 55.29,-49 39 29.2,20.26,16.96,0.624,0.017,0.19,0.35,238595612,5514320880843244416,[IHA2008] N2547-2-5-616
122.32517,-49.59589,N2547-2-5-2313,08 09 18.04,-49 35 45.2,19.94,17.01,0.607,0.01,0.19,0.35,238595754,5514322942427804160,[IHA2008] N2547-2-5-2313
122.28625,-49.58694,N2547-2-5-2554,08 09 08.70,-49 35 13.0,18.64,16.1,2.384,0.01,0.32,0.47,238595779,5514322839348631296,[IHA2008] N2547-2-5-2554
122.26962,-49.55761,N2547-2-5-3383,08 09 04.71,-49 33 27.4,17.39,14.86,4.993,0.03,0.61,0.69,238595845,5514334663399974656,[IHA2008] N2547-2-5-3383
122.30771,-49.55506,N2547-2-5-3430,08 09 13.85,-49 33 18.2,18.34,15.6,1.693,0.015,0.43,0.55,238595848,5514323290326719360,[IHA2008] N2547-2-5-3430
122.35775,-49.54567,N2547-2-5-3706,08 09 25.86,-49 32 44.4,16.99,14.66,7.275,0.057,0.65,0.72,238617190,5514323187247488256,[IHA2008] N2547-2-5-3706
122.29504,-49.48797,N2547-2-5-5346,08 09 10.81,-49 29 16.7,17.17,14.98,5.033,0.013,0.58,0.67,238596015,5514335522393565696,[IHA2008] N2547-2-5-5346
122.35204,-49.48267,N2547-2-5-5488,08 09 24.49,-49 28 57.6,17.48,14.98,1.189,0.022,0.58,0.67,238617027,5514358749577486336,[IHA2008] N2547-2-5-5488
122.30037,-49.45831,N2547-2-5-6156,08 09 12.09,-49 27 29.9,19.51,16.65,1.573,0.027,0.23,0.39,238596096,5514336308366644864,[IHA2008] N2547-2-5-6156
122.22762,-49.45092,N2547-2-5-6375,08 08 54.63,-49 27 03.3,19.17,16.29,1.108,0.015,0.29,0.44,238596115,5514336480165371264,[IHA2008] N2547-2-5-6375
122.32137,-49.42433,N2547-2-5-7229,08 09 17.13,-49 25 27.6,18.04,15.5,0.56,0.072,0.45,0.57,238596181,5514359883448845696,[IHA2008] N2547-2-5-7229
122.5085,-49.66569,N2547-2-6-463,08 10 02.04,-49 39 56.5,15.75,14.18,5.263,0.019,0.73,0.8,238617507,5514341191750996608,[IHA2008] N2547-2-6-463
122.50246,-49.62575,N2547-2-6-1606,08 10 00.59,-49 37 32.7,20.28,17.17,1.418,0.009,0.17,0.34,238617414,5514341565411204736,[IHA2008] N2547-2-6-1606
122.41904,-49.53733,N2547-2-6-4198,08 09 40.57,-49 32 14.4,19.9,17.09,1.221,0.012,0.18,0.34,238617160,5514345860373552896,[IHA2008] N2547-2-6-4198
122.43737,-49.53678,N2547-2-6-4226,08 09 44.97,-49 32 12.4,17.27,14.7,0.739,0.014,0.64,0.72,238617158,5514345967754802432,[IHA2008] N2547-2-6-4226
122.44483,-49.5185,N2547-2-6-4699,08 09 46.76,-49 31 06.6,17.86,15.46,0.293,0.03,0.46,0.58,238617117,5514346002114532352,[IHA2008] N2547-2-6-4699
122.39104,-49.509,N2547-2-6-4989,08 09 33.85,-49 30 32.4,21.06,17.68,0.682,0.013,0.13,0.29,238617090,5514346891167657856,[IHA2008] N2547-2-6-4989
122.41892,-49.50567,N2547-2-6-5100,08 09 40.54,-49 30 20.4,18.51,15.86,1.694,0.018,0.37,0.51,238617079,5514346792388520192,[IHA2008] N2547-2-6-5100
122.41362,-49.48036,N2547-2-6-5807,08 09 39.27,-49 28 49.3,17.92,15.51,1.517,0.009,0.45,0.57,238617020,5514347032906681728,[IHA2008] N2547-2-6-5807
122.55979,-49.47403,N2547-2-6-5964,08 10 14.35,-49 28 26.5,17.77,15.37,1.216,0.025,0.49,0.6,238643998,5514347788820872704,[IHA2008] N2547-2-6-5964
122.57696,-49.44186,N2547-2-6-6905,08 10 18.47,-49 26 30.7,18.95,16.04,0.512,0.016,0.33,0.48,238644082,5514348098058500736,[IHA2008] N2547-2-6-6905
122.57471,-49.43722,N2547-2-6-7029,08 10 17.93,-49 26 14.0,20.93,17.83,0.645,0.011,0.12,0.28,238644093,5514348162477981440,[IHA2008] N2547-2-6-7029
122.72325,-49.58264,N2547-2-7-2985,08 10 53.58,-49 34 57.5,17.75,15.4,5.325,0.025,0.48,0.59,238668956,5514296627169047808,[IHA2008] N2547-2-7-2985
122.76733,-49.54314,N2547-2-7-4193,08 11 04.16,-49 32 35.3,19.91,17.1,0.631,0.01,0.18,0.34,0,,[IHA2008] N2547-2-7-4193
122.68975,-49.52947,N2547-2-7-4661,08 10 45.54,-49 31 46.1,19.14,16.39,0.621,0.017,0.27,0.43,238643875,5514343901868484992,[IHA2008] N2547-2-7-4661
122.65558,-49.46958,N2547-2-7-6497,08 10 37.34,-49 28 10.5,18.06,15.55,2.988,0.034,0.44,0.56,238644011,5514345211840457984,[IHA2008] N2547-2-7-6497
122.64875,-49.46375,N2547-2-7-6680,08 10 35.70,-49 27 49.5,17.11,14.97,2.979,0.023,0.58,0.67,238644026,5514345211840458624,[IHA2008] N2547-2-7-6680
122.67646,-49.46472,N2547-2-7-6909,08 10 42.35,-49 27 53.0,19.37,16.46,1.01,0.023,0.26,0.42,238644022,,[IHA2008] N2547-2-7-6909
122.67717,-49.41531,N2547-2-7-8140,08 10 42.52,-49 24 55.1,19.09,16.19,0.333,0.009,0.3,0.45,238644145,5514348407296105344,[IHA2008] N2547-2-7-8140
123.00608,-49.60214,N2547-2-8-2250,08 12 01.46,-49 36 07.7,17.93,15.38,1.364,0.011,0.48,0.6,238715667,5514297864119705984,[IHA2008] N2547-2-8-2250
122.99229,-49.55786,N2547-2-8-3610,08 11 58.15,-49 33 28.3,19.89,16.66,0.456,0.024,0.23,0.39,238715768,5514298924970807424,[IHA2008] N2547-2-8-3610
