TIC,ra,dec,assoc,vetted,variable,Vmag,Kmag,plx,Vmag_unred,Kmag_unred
249695573,337.5714436,48.6863442,Theia507,1,0,14.68,9.107,9.41159,14.68,9.107
286683067,150.1776573,-37.52331721,Theia443,1,0,13.536,9.14,8.91163,13.20152381,9.102207151
110113516,114.0297723,-24.01135841,Theia449,1,0,13.504,9.209,9.25063,13.504,9.209
55592715,110.7151019,-17.84932609,Theia449,1,0,13.332,9.18,9.7247,13.332,9.18
274743464,240.2617003,-51.49853395,Theia305,1,0,13.33,9.103,7.7413,-12.07328151,6.232654059
54463265,19.59575876,62.99591768,Theia446,1,0,13.298,9.105,9.21644,13.298,9.105
73175674,189.9716518,-41.95023568,Theia430,1,0,13.295,8.616,5.39924,12.86085682,8.566945664
119847893,101.238588,-9.188286358,Theia72,1,0,13.285,9.846,5.90453,13.285,9.846
383754819,284.1003996,30.18877395,Theia445,1,0,13.104,8.858,9.86489,13.104,8.858
207660544,243.5574214,-57.30742264,Theia405,1,0,13.096,9.945,6.58025,11.4011824,9.753500613
407227916,238.2263192,-80.95600551,Crius_221,1,0,13.072,10.133,7.27377,12.14050644,10.02774947
244247707,74.07619243,-1.892507569,Theia160,1,0,12.895,10.299,4.36721,12.85291861,10.29424518
281947586,286.5999177,27.64568029,Theia435,1,0,12.888,9.93,7.6136,12.888,9.93
454710458,174.710109,-72.37302069,Theia75,1,0,12.868,10.663,2.71053,11.7234118,10.53367166
466243831,165.568073,-63.78336493,Theia92,1,0,12.823,10.763,3.83904,9.916131937,10.43454964
330709666,329.0375341,45.80497397,Theia310,1,0,12.76,10.536,2.59133,12.58106715,10.51578217
116674854,85.8337519,31.54854632,Theia438,1,0,12.752,10.459,4.41925,12.38918688,10.41800533
447346072,251.5994339,-60.34944046,Theia119,1,0,12.714,10.129,7.32364,12.08902218,10.05838304
122793736,117.658135,-2.60854359,Theia515,1,0,12.704,9.918,3.88544,12.704,9.918
269115041,75.59375971,5.851096936,Theia138,1,0,12.678,10.417,5.77594,12.678,10.417
123796275,90.43703124,-21.10643865,Theia95,1,0,12.664,10.292,6.09174,12.664,10.292
70963029,64.94753414,-15.62066596,Crius_225,1,0,12.622,10.867,2.14617,12.59176557,10.86358378
409533249,110.0102506,-17.1222956,Theia320,1,0,12.621,10.265,2.94373,12.43959344,10.24450266
156105520,124.2692451,-24.48958883,Theia396,1,0,12.571,10.896,2.58008,12.54076557,10.89258378
469864205,330.2016607,58.02781864,Theia248,1,0,12.549,10.33,5.28966,12.549,10.33
421715414,324.8460277,55.55269193,Theia243,1,0,12.535,10.827,1.73982,11.3141391,10.68905353
401520294,135.5985472,-53.77661207,Theia92,1,0,12.507,10.425,5.37177,10.67870192,10.2184185
146758187,160.586532,-47.17684019,Theia233,1,0,12.496,10.627,4.3865,11.962838,10.56675741
314756503,184.914361,-67.83235844,Theia120,1,0,12.484,9.618,9.45998,11.28029873,9.481992411
452747249,74.63704183,5.881719054,Theia160,1,0,12.473,10.656,3.51184,12.37689652,10.64514116
56026136,113.0993643,-15.36405182,Theia320,1,0,12.466,9.924,6.01034,12.466,9.924
68469507,117.146822,-4.081444504,Theia515,1,0,12.443,9.154,8.3457,12.443,9.154
447785589,255.7831993,-64.01129995,Theia216,1,0,12.43,10.954,2.2817,12.02296658,10.90800883
371384654,118.0838047,53.42526962,Crius_189,1,0,12.402,10.691,3.39511,12.16012459,10.66367022
324118859,148.2914751,-79.42123063,Theia95,1,0,12.401,11.024,1.53766,11.71579104,10.94657745
88487090,106.0363492,62.18922686,Theia214,1,0,12.399,10.657,3.09154,12.21759344,10.63650266
62825263,116.3991085,19.2131118,Theia326,1,0,12.392,10.263,2.26561,12.30129672,10.25275133
172211437,255.8507595,-59.92135444,Theia257,1,0,12.377,10.669,3.50541,11.93335437,10.61887197
259449675,114.0590611,-14.39629566,Theia320,1,0,12.347,10.872,2.35369,12.10512459,10.84467022
390541461,160.7665666,-61.27818254,Theia143,1,0,12.331,10.449,4.11261,10.45893492,10.23747322
145516276,232.5374684,-51.28946841,Theia252,1,0,12.322,10.958,2.39989,10.26995292,10.72613684
14848245,114.1381269,12.43937028,Theia211,1,0,12.269,11.037,2.25534,12.269,11.037
89195335,89.7787959,14.28818672,Theia370,1,0,12.235,10.348,3.99652,12.235,10.348
443236079,198.8990131,-63.57160238,Theia447,1,0,12.2217,,8.93173,4.004165193,
21748516,88.48980495,-37.04760379,Theia301,1,0,12.208,10.745,2.08316,12.085127,10.73111644
387425849,217.2205158,-65.22361749,Theia120,1,0,12.192,10.631,3.45221,10.79997267,10.47371323
426401000,242.5375623,-73.44892969,Theia216,1,0,12.187,10.403,2.63574,11.91130398,10.37184879
146112609,157.5536497,-46.6355257,Theia233,1,0,12.185,9.921,7.25305,11.53633873,9.847707019
299288320,340.3209632,47.2338085,Theia310,1,0,12.18,10.322,2.85408,12.05906229,10.30833511
454243019,165.1698256,-75.96655576,Theia2,1,0,12.177,10.216,5.57707,10.86789417,10.06808263
6780506,113.2407342,-11.59729038,Theia318,1,0,12.161,10.082,2.90043,12.07029672,10.07175133
468505816,14.13861797,77.83552377,Theia426,1,0,12.128,10.536,2.82518,11.61401473,10.47792421
449838040,201.5296167,-61.44060116,Theia75,1,0,12.116,10.347,3.74096,4.672871777,9.505992397
24405778,79.39276239,-6.847398121,Theia13,1,0,12.091,9.441,9.07314,12.091,9.441
67854865,291.344427,16.54324081,Theia209,1,0,12.082,10.247,4.5709,11.76152755,10.21078945
358674858,151.2347976,-45.30413668,Theia233,1,0,12.078,9.899,6.98018,11.56532085,9.841071795
141450731,117.1792497,-18.94157475,Theia449,1,0,12.053,8.363,23.0921,12.053,8.363
40392776,256.0342017,-33.33899183,Theia368,1,0,12.046,10.131,5.33347,10.29398353,9.933037648
126780223,116.2211049,-24.16846096,Theia449,1,0,12.046,8.818,8.62151,12.046,8.818
458625019,125.059605,8.556563932,Theia256,1,0,12.022,9.854,6.72603,12.022,9.854
175380141,116.2610595,-38.03115666,Theia74,1,0,12.016,10.241,3.69964,9.917884979,10.00393158
110230103,114.1109982,-28.51760287,Theia118,1,0,12.009,10.005,6.51166,12.009,10.005
49244177,101.4528972,-20.64620179,Theia476,1,0,11.993,9.864,6.89766,11.993,9.864
317187398,86.96190529,-16.6769945,Theia95,1,0,11.953,10.393,3.63159,11.92276557,10.38958378
51926341,98.20209561,-30.50904166,Theia95,1,0,11.94,10.464,4.41771,11.94,10.464
237195832,283.5423557,36.96114543,Theia73,1,0,11.922,9.375,9.6206,11.922,9.375
234723652,97.11228182,3.69496665,Theia212,1,0,11.908,10.05,3.39379,11.88464084,10.04736062
372537528,249.4434998,-60.41500077,Theia448,1,0,11.885,10.24,2.36021,11.22088864,10.16496129
142529792,103.3384747,-12.40699281,Theia72,1,0,11.871,10.337,4.06221,11.871,10.337
262391282,107.0844162,7.244936275,Theia379,1,0,11.871,10.346,2.58752,11.85634684,10.34434432
151463765,91.78643769,15.34544858,Theia116,1,0,11.869,10.24,3.66731,11.869,10.24
279751048,52.71924453,62.71440522,Theia39,1,0,11.831,9.769,6.29914,11.831,9.769
190529238,221.3702976,-58.29963911,Theia439,1,0,11.83,9.902,6.20045,6.32407691,9.279879429
266068522,95.48228967,4.230443281,Theia212,1,0,11.795,10.76,2.81728,11.22054589,10.69509177
469864218,330.205484,58.02626733,Theia248,1,0,11.793,9.965,5.74864,11.793,9.965
36430706,118.801588,-11.65230628,Theia217,1,0,11.782,9.994,5.45461,11.782,9.994
467791069,62.80164575,32.42828542,Theia77,1,0,11.775,10.031,4.69427,11.13592655,9.958790358
64964615,107.5719616,-24.02211893,Theia469,1,0,11.744,8.434,9.38951,11.744,8.434
248438051,77.46506261,-0.792046256,Theia160,1,0,11.738,9.813,2.72957,11.43565574,9.778837775
17525262,247.8607494,-53.50923458,Theia303,1,0,11.711,10.325,3.31174,9.896661442,10.1199958
427186169,241.229944,-54.15787005,Theia303,1,0,11.699,9.693,7.26179,1.634164559,8.555762689
89444897,289.7881977,24.12017618,Theia165,1,0,11.627,9.17,11.3315,11.627,9.17
358754260,151.3595691,-46.19663729,Theia233,1,0,11.591,9.979,3.50979,10.91582322,9.902711
142078009,118.123563,-22.95078735,Theia454,1,0,11.485,8.702,11.2417,11.485,8.702
400796441,167.2786741,-66.3231798,Theia453,1,0,11.475,8.311,9.65975,9.59543669,8.098625984
445249678,12.12053271,58.80400964,Theia434,1,0,11.452,9.439,6.76558,11.452,9.439
80660157,87.56704038,10.55955121,Theia116,1,0,11.447,9.817,4.51251,11.447,9.817
139477106,88.20129286,9.833922553,Theia133,1,0,11.432,9.988,2.5561,10.35272512,9.866051492
67942260,115.7694009,-2.652103369,Theia515,1,0,11.413,9.567,6.26744,11.413,9.567
284176105,68.62686465,34.12237869,Theia133,1,0,11.412,10.15,4.16098,11.01408851,10.10503952
264553769,264.9519456,-36.78438127,Theia219,1,0,11.402,10.094,4.16408,6.790044275,9.572889828
66225381,115.1396179,-0.161656127,Theia383,1,0,11.385,9.382,6.9062,11.385,9.382
427346139,83.52573138,-3.117658133,Theia13,1,0,11.382,10.028,3.51622,11.07965574,9.993837775
191823607,221.7209511,-55.33909985,Theia439,1,0,11.353,8.617,8.3716,9.345509243,8.390171315
268473238,176.887524,-58.17340033,Theia215,1,0,11.339,9.877,4.61781,9.391826843,9.65698667
49065362,164.5925641,-32.95890185,Theia430,1,0,11.327,9.109,7.56583,11.08963313,9.082179645
287172319,110.4847611,65.07652662,Theia214,1,0,11.294,9.093,10.4095,11.294,9.093
149744040,116.5343268,-34.07586288,Theia118,1,0,11.181,9.859,3.3743,6.656819759,9.347807681
249024145,78.72296535,-5.766202303,Theia13,1,0,11.153,9.446,6.75082,11.153,9.446
37971714,254.9827217,-34.27706825,Theia325,1,0,11.148,9.403,3.43608,9.670480557,9.236053382
347663506,253.9437064,-50.50882569,Theia309,1,0,11.132,9.442,6.34868,9.179561611,9.221391745
360453362,240.6156737,-69.52528062,Theia216,1,0,11.125,9.417,6.34598,10.77953401,9.377965401
153514401,120.8824732,-25.94112718,Theia355,1,0,11.042,9.107,7.97664,11.042,9.107
110306492,291.4183984,29.60631952,Theia171,1,0,11.035,8.94,12.8434,11.035,8.94
130518200,105.4050776,-44.43391422,Theia301,1,0,11.015,9.172,5.03206,10.67019514,9.133040103
230278964,272.0006155,19.79493906,Theia428,1,0,11.013,9.322,6.71451,11.013,9.322
306623112,166.8700306,-56.85905484,Theia439,1,0,11,9.238,5.9312,9.339791242,9.050411106
248999803,78.41155794,-0.845570357,Theia160,1,0,10.98,8.675,12.3195,10.98,8.675
7435823,114.1721927,-10.89765099,Theia318,1,0,10.896,8.829,9.06301,10.896,8.829
55764816,112.8046973,-12.07302198,Theia379,1,0,10.874,9.488,3.65555,10.874,9.488
25448598,144.0396417,-35.86751371,Theia443,1,0,10.846,8.985,7.86605,10.38789882,8.933238621
386563186,159.1275736,-13.84318664,Car-near,1,0,10.75,9.33,3.94238,10.68953115,9.323167555
186129790,303.2471795,44.9336287,Theia96,1,0,10.692,9.215,5.45477,10.692,9.215
14076683,58.8156645,19.62935138,Theia369,1,0,10.661,8.844,5.22644,9.935373758,8.762010658
24405779,79.39361493,-6.84672778,Theia13,1,0,10.646,9.154,5.77326,10.646,9.154
172696401,100.9429953,-25.01576058,Theia208,1,0,10.625,9.443,4.50821,10.625,9.443
384954367,137.1633627,-59.67607973,Theia115,1,0,10.51,9.112,4.09283,9.682474263,9.018496917
118597400,69.41158952,23.34962086,Theia7,1,0,10.294,8.449,10.4717,10.294,8.449
285144988,119.8072594,-43.56312885,Theia99,1,0,10.278,8.717,8.67722,9.185776944,8.593588463
284134739,108.5721176,3.254597139,Theia172,1,0,10.24,8.737,8.91832,10.24,8.737
210365319,211.99543,-57.30619627,Theia439,1,0,10.191,7.966,9.1014,7.953227223,7.713151485
80830597,87.92061904,10.03438717,Theia116,1,0,10.173,8.587,9.60455,10.173,8.587
306100488,264.3684077,-60.04666062,Theia452,1,0,10.117,8.133,8.75377,9.901150985,8.108610972
360641879,142.8175541,-62.16156966,Theia424,1,0,10.085,8.186,13.3857,9.17846164,8.08356919
145756132,123.1234193,-31.55442688,Theia118,1,0,9.665,8.343,9.26106,7.552570261,8.104314139
194949415,313.1444525,39.20801216,Theia168,1,0,9.664,8.277,7.59929,9.664,8.277
411582334,329.0261947,64.75514898,Theia57,1,0,8.983,7.664,12.0766,8.983,7.664
459099505,161.8344112,-55.28145397,Theia439,1,0,7.8,6.131,28.1584,5.631385445,5.885965752
103026670,263.8801169,-34.25071888,Theia122,1,0,7.67,6.292,19.9028,-1.936852386,5.20651072
278016010,177.8667684,-35.9577786,Theia430,1,0,7.64,5.801,38.1125,7.368386219,5.770310047